Date,AXP,BBY,CAG,EMR,HSY,INCY,MCK,MNST,TGT,WBA,SP500
2013-12-23,88.309998,40.610001000000004,25.922178,69.370003,95.559998,51.279999,160.399994,22.370001000000002,61.880001,57.540001000000004,"1,827.99"
2013-12-24,88.690002,40.220001,26.062258,69.760002,95.949997,50.82,160.270004,22.453332999999997,61.709998999999996,57.610001000000004,"1,833.32"
2013-12-26,89.0,41.040001000000004,26.007782000000002,70.099998,96.459999,50.68,161.369995,22.486667999999998,62.48,57.669998,"1,842.02"
2013-12-27,89.190002,40.169998,26.10895,70.209999,96.279999,49.709998999999996,160.979996,22.473333,62.150002,57.43,"1,841.40"
2013-12-30,89.589996,40.009997999999996,26.210117,70.260002,97.559998,50.57,160.690002,22.6,62.470001,57.84,"1,841.07"
2013-12-31,90.730003,39.880001,26.225680999999998,70.18,97.230003,50.630001,161.399994,22.59,63.27,57.439999,"1,848.36"
2014-01-02,89.449997,40.5,26.124514,69.300003,95.93,51.23,160.16000400000001,22.26,63.18,56.630001,"1,831.98"
2014-01-03,89.739998,40.68,26.062258,69.370003,95.809998,51.990002000000004,160.71000700000002,22.506666,63.490002000000004,56.82,"1,831.37"
2014-01-06,89.699997,39.41,25.937742,68.849998,95.540001,52.310001,160.259995,22.153334,63.060001,57.139998999999996,"1,826.77"
2014-01-07,89.360001,38.380001,26.381323,68.900002,97.0,51.959998999999996,161.830002,22.58,62.91,57.509997999999996,"1,837.88"
2014-01-08,89.410004,37.84,26.163424,68.550003,97.739998,54.740002000000004,169.809998,22.796667000000003,62.689999,59.360001000000004,"1,837.49"
2014-01-09,88.879997,37.529999,26.264590999999996,68.269997,97.639999,56.169998,175.330002,22.516666,63.34,61.139998999999996,"1,838.13"
2014-01-10,88.550003,37.810001,26.350195000000003,68.550003,97.860001,59.970001,175.440002,23.273332999999997,62.619999,60.360001000000004,"1,842.37"
2014-01-13,86.989998,36.860001000000004,26.124514,68.050003,97.849998,59.110001000000004,167.139999,23.24,61.5,60.200001,"1,819.20"
2014-01-14,87.120003,37.049999,26.365759000000004,69.209999,98.66999799999999,63.459998999999996,167.470001,23.073334,61.709998999999996,60.0,"1,838.88"
2014-01-15,88.25,37.57,26.272372999999998,69.779999,98.199997,62.419998,167.320007,23.030001000000002,61.560001,59.490002000000004,"1,848.38"
2014-01-16,87.779999,26.83,26.498054999999997,69.949997,99.5,63.48,168.559998,23.18,60.810001,59.889998999999996,"1,845.89"
2014-01-17,90.970001,24.43,26.007782000000002,69.120003,98.58000200000001,61.869999,168.119995,23.040001,60.240002000000004,59.16,"1,838.70"
2014-01-21,90.589996,24.469998999999998,26.116732,69.550003,98.75,64.550003,168.550003,23.26,59.200001,58.73,"1,843.80"
2014-01-22,91.129997,26.01,26.186769,68.959999,99.83000200000001,64.860001,169.679993,23.303333,58.98,58.91,"1,844.86"
2014-01-23,89.16999799999999,26.07,25.883268,67.349998,99.33000200000001,65.599998,172.369995,23.013332000000002,58.650002,58.349998,"1,828.46"
2014-01-24,86.949997,25.02,25.486382,65.260002,98.120003,63.939999,173.720001,22.516666,57.720001,57.23,"1,790.29"
2014-01-27,85.720001,24.6,25.673153,65.519997,97.459999,62.5,172.979996,22.573334,57.709998999999996,57.400002,"1,781.56"
2014-01-28,86.639999,24.719998999999998,25.517509,66.339996,98.779999,65.32,175.259995,22.983334,57.889998999999996,57.02,"1,792.50"
2014-01-29,85.550003,23.969998999999998,24.793774,65.66999799999999,96.720001,65.239998,173.279999,22.59,56.889998999999996,56.5,"1,774.20"
2014-01-30,86.620003,22.719998999999998,24.747082000000002,66.58000200000001,99.25,66.449997,177.229996,22.889999,56.669998,57.259997999999996,"1,794.19"
2014-01-31,85.019997,23.540001,24.7393,65.940002,99.400002,65.519997,174.41000400000001,22.633333,56.639998999999996,57.349998,"1,782.59"
2014-02-03,82.860001,23.07,23.89105,64.25,97.949997,63.0,171.0,22.313334,55.41,55.57,"1,741.89"
2014-02-04,84.0,22.780001000000002,23.984436,64.059998,100.0,62.93,169.440002,22.463333,55.119999,55.950001,"1,755.20"
2014-02-05,83.720001,23.120001000000002,23.906614,63.759997999999996,100.709999,62.259997999999996,168.619995,22.216667,55.07,57.849998,"1,751.64"
2014-02-06,85.690002,23.709999,23.89105,63.939999,100.599998,62.580002,172.399994,22.673332000000002,55.860001000000004,59.220001,"1,773.43"
2014-02-07,87.0,24.549999,24.007782000000002,65.190002,100.379997,65.889999,174.990005,22.823334,56.330002,60.959998999999996,"1,797.02"
2014-02-10,88.339996,25.24,24.163424,64.989998,101.970001,66.129997,172.770004,23.563334,56.509997999999996,60.650002,"1,799.84"
2014-02-11,88.58000200000001,25.42,22.63035,64.949997,103.75,66.0,175.050003,24.326667999999998,57.139998999999996,64.199997,"1,819.75"
2014-02-12,89.019997,24.889999,22.544746,65.110001,102.93,68.83000200000001,174.949997,23.933332,56.950001,65.41999799999999,"1,819.26"
2014-02-13,88.900002,24.68,22.568092,64.540001,104.010002,66.139999,175.669998,23.776667,56.860001000000004,66.389999,"1,829.83"
2014-02-14,89.0,24.780001000000002,22.848249,64.510002,105.279999,64.16999799999999,175.600006,23.863332999999997,56.060001,64.779999,"1,838.63"
2014-02-18,89.019997,24.99,22.715954,63.799999,105.959999,65.5,177.479996,24.003332,56.389998999999996,64.540001,"1,840.76"
2014-02-19,88.839996,24.879998999999998,22.5214,63.27,106.349998,61.650002,177.66000400000001,24.383333,57.310001,65.510002,"1,828.75"
2014-02-20,89.010002,24.84,22.225680999999998,63.560001,107.709999,63.919998,177.580002,24.9,56.619999,66.550003,"1,839.78"
2014-02-21,88.75,24.639999,22.178988,63.419998,107.699997,64.980003,176.350006,24.93,56.240002000000004,66.32,"1,836.25"
2014-02-24,89.91999799999999,25.17,22.210117,64.32,108.07,67.029999,176.320007,24.84,56.139998999999996,66.519997,"1,847.61"
2014-02-25,89.910004,25.309998999999998,22.124514,64.550003,106.769997,68.370003,176.729996,23.796667000000003,56.509997999999996,66.949997,"1,845.12"
2014-02-26,89.730003,25.82,22.046694,65.230003,105.639999,67.260002,174.779999,23.666667999999998,60.490002000000004,66.510002,"1,845.16"
2014-02-27,90.290001,25.57,21.992217999999998,65.25,105.769997,65.910004,174.429993,23.719998999999998,60.66,68.190002,"1,854.29"
2014-02-28,91.279999,26.629998999999998,22.101167999999998,65.260002,105.82,64.260002,177.050003,24.666667999999998,62.540001000000004,67.949997,"1,859.45"
2014-03-03,89.970001,26.15,22.085604,64.349998,105.58000200000001,63.75,176.050003,24.196667,61.959998999999996,67.400002,"1,845.73"
2014-03-04,92.610001,25.799999,22.373541,65.120003,107.139999,66.459999,180.800003,24.823334,61.330002,69.089996,"1,873.91"
2014-03-05,92.139999,25.540001,22.552528,65.059998,106.650002,66.540001,181.96000700000002,24.48,60.599998,68.480003,"1,873.81"
2014-03-06,93.519997,25.440001000000002,22.677044,65.050003,106.029999,65.610001,182.580002,24.280001000000002,60.740002000000004,66.709999,"1,877.03"
2014-03-07,93.860001,25.799999,22.933851,65.599998,105.639999,64.360001,182.399994,24.463333,60.75,67.209999,"1,878.04"
2014-03-10,93.699997,26.24,22.902723,64.93,105.400002,63.299999,180.5,24.440001000000002,61.16,66.779999,"1,877.17"
2014-03-11,93.199997,25.969998999999998,22.887159,64.410004,105.449997,65.489998,182.369995,24.566668,60.939999,66.519997,"1,867.63"
2014-03-12,92.900002,25.74,23.206226,64.0,105.940002,65.349998,183.649994,24.426666,61.099998,66.93,"1,868.20"
2014-03-13,90.690002,25.290001,22.933851,63.02,105.58000200000001,62.43,183.649994,23.383333,59.73,66.93,"1,846.34"
2014-03-14,90.16999799999999,25.700001,22.894941,62.560001,106.199997,61.419998,180.809998,23.353333,59.360001000000004,67.07,"1,841.13"
2014-03-17,91.260002,26.01,23.003891,63.66,105.32,62.220001,181.919998,23.636667000000003,59.669998,67.339996,"1,858.83"
2014-03-18,91.589996,25.879998999999998,23.198444,63.869999,106.209999,64.940002,183.169998,23.663334,59.720001,67.199997,"1,872.25"
2014-03-19,90.730003,25.75,23.027237,63.630001,104.230003,64.839996,181.91000400000001,23.206667000000003,59.48,66.83000200000001,"1,860.77"
2014-03-20,91.690002,25.84,23.338520000000003,63.59,104.43,63.799999,185.350006,23.216667,59.700001,66.5,"1,872.01"
2014-03-21,91.519997,26.959999,23.400778,65.349998,104.839996,59.41,180.850006,22.943333,59.450001,64.75,"1,866.52"
2014-03-24,91.010002,26.35,23.431908,65.389999,103.510002,55.700001,177.53999299999998,22.629998999999998,59.459998999999996,64.309998,"1,857.44"
2014-03-25,90.839996,26.190001000000002,23.540855,66.349998,103.239998,53.57,176.470001,22.733334,59.060001,66.41999799999999,"1,865.62"
2014-03-26,89.660004,25.77,23.540855,65.739998,102.779999,51.75,173.83999599999999,22.726667000000003,59.200001,64.93,"1,852.56"
2014-03-27,89.989998,25.73,23.696499,66.199997,102.769997,51.939999,173.100006,22.853333,59.740002000000004,64.349998,"1,849.04"
2014-03-28,90.459999,26.07,23.883268,66.760002,103.239998,49.939999,175.419998,23.163334,59.98,65.360001,"1,857.62"
2014-03-31,90.029999,26.41,24.14786,66.800003,104.400002,53.52,176.570007,23.15,60.509997999999996,66.029999,"1,872.34"
2014-04-01,91.16999799999999,26.379998999999998,23.984436,67.32,104.110001,54.759997999999996,176.03999299999998,23.683332,60.57,65.83000200000001,"1,885.52"
2014-04-02,90.400002,26.799999,24.217899,67.839996,103.209999,54.459998999999996,175.75,23.216667,60.889998999999996,66.349998,"1,890.90"
2014-04-03,90.980003,26.77,24.498054999999997,67.940002,102.860001,51.419998,173.75,22.67,61.720001,67.089996,"1,888.77"
2014-04-04,89.16999799999999,27.700001,24.10895,67.269997,102.970001,50.5,170.869995,22.219998999999998,61.139998999999996,66.050003,"1,865.09"
2014-04-07,86.599998,27.190001000000002,24.186769,66.480003,103.0,50.150002,167.58999599999999,22.276667,60.5,65.099998,"1,845.04"
2014-04-08,86.489998,27.370001000000002,24.287937,66.660004,101.720001,49.049999,168.71000700000002,21.950001,61.5,63.82,"1,851.96"
2014-04-09,88.720001,27.360001,24.202335,67.099998,98.910004,52.009997999999996,172.970001,22.963333,61.209998999999996,65.519997,"1,872.18"
2014-04-10,85.360001,26.209999,23.844358,66.050003,98.610001,47.130001,167.470001,21.346666,59.669998,63.400002,"1,833.08"
2014-04-11,84.540001,25.51,23.735409,65.400002,98.32,46.25,164.679993,21.09,58.900002,64.260002,"1,815.69"
2014-04-14,85.5,25.700001,23.992217999999998,65.370003,99.129997,44.32,167.470001,21.33,59.419998,65.66999799999999,"1,830.61"
2014-04-15,86.040001,25.0,24.023346,66.550003,99.510002,43.099998,168.309998,21.290001,59.48,66.010002,"1,842.98"
2014-04-16,87.400002,24.469998999999998,24.280155,67.610001,100.470001,43.98,170.0,21.806667,59.91,66.160004,"1,862.31"
2014-04-17,86.220001,24.48,24.389104999999997,68.440002,100.610001,44.540001000000004,170.979996,22.516666,60.0,66.75,"1,864.85"
2014-04-21,86.66999799999999,24.120001000000002,24.295719000000002,68.589996,100.389999,47.450001,171.949997,22.41,59.759997999999996,66.129997,"1,871.89"
2014-04-22,87.07,24.49,24.334629,68.699997,99.769997,49.32,171.0,22.586666,60.32,67.379997,"1,879.55"
2014-04-23,87.129997,24.27,24.249026999999998,69.400002,100.150002,46.959998999999996,170.630005,22.360001,60.740002000000004,67.389999,"1,875.39"
2014-04-24,87.410004,24.190001000000002,24.171206,69.5,96.019997,47.299999,170.46000700000002,22.25,61.450001,67.41999799999999,"1,878.61"
2014-04-25,87.029999,24.379998999999998,24.124514,68.440002,96.360001,45.41,167.850006,21.926666,61.259997999999996,66.650002,"1,863.40"
2014-04-28,87.059998,25.549999,23.89105,68.220001,96.360001,45.080002,167.449997,22.246668,62.18,67.449997,"1,869.43"
2014-04-29,87.790001,25.790001,23.719845,68.050003,96.139999,48.610001000000004,168.470001,22.146667,61.970001,67.32,"1,878.33"
2014-04-30,87.43,25.93,23.743191,68.18,96.239998,48.560001,169.190002,22.32,61.75,67.900002,"1,883.95"
2014-05-01,86.82,26.02,23.688717,67.989998,96.040001,50.049999,168.199997,22.326667999999998,61.740002000000004,69.43,"1,883.68"
2014-05-02,86.93,26.15,23.821012,67.529999,96.980003,51.610001000000004,167.009995,22.306667,62.009997999999996,68.860001,"1,881.14"
2014-05-05,87.360001,25.91,23.618676999999998,67.620003,97.730003,53.48,168.71000700000002,22.173332000000002,59.869999,69.849998,"1,884.66"
2014-05-06,86.199997,25.18,23.494164,66.559998,96.059998,53.380001,166.83999599999999,22.016666,57.639998999999996,68.779999,"1,867.72"
2014-05-07,87.980003,25.25,23.992217999999998,67.199997,96.900002,51.990002000000004,166.419998,21.726667000000003,58.130001,69.870003,"1,878.21"
2014-05-08,88.620003,25.51,23.735409,67.209999,96.230003,50.380001,166.720001,22.040001,58.32,68.690002,"1,875.63"
2014-05-09,88.839996,25.92,23.945524,67.120003,96.029999,52.080002,171.0,22.33,59.130001,68.660004,"1,878.48"
2014-05-12,89.660004,26.25,24.085604,68.220001,96.239998,54.389998999999996,174.229996,23.366667,59.639998999999996,69.349998,"1,896.65"
2014-05-13,89.089996,26.049999,24.272373,68.279999,96.889999,54.16,180.0,23.353333,59.560001,69.57,"1,897.45"
2014-05-14,88.459999,26.02,24.490273000000002,67.300003,96.040001,55.900002,178.199997,23.443333,59.27,68.610001,"1,888.53"
2014-05-15,87.599998,25.469998999999998,24.210117,66.639999,96.480003,50.950001,177.570007,23.416667999999998,58.18,68.110001,"1,870.85"
2014-05-16,87.5,25.49,24.466927,66.550003,96.620003,49.59,178.21000700000002,23.516666,58.639998999999996,67.769997,"1,877.86"
2014-05-19,88.120003,26.120001000000002,24.412451,66.730003,96.389999,49.900002,180.679993,23.483334,58.290001000000004,69.540001,"1,885.08"
2014-05-20,87.089996,24.66,24.326847,65.370003,97.449997,48.68,179.83999599999999,23.15,56.610001000000004,68.879997,"1,872.83"
2014-05-21,87.860001,25.35,24.451363,65.57,97.07,47.009997999999996,183.270004,23.26,57.200001,68.849998,"1,888.03"
2014-05-22,88.150002,26.219998999999998,24.583658,66.129997,97.370003,48.029999,183.58999599999999,23.120001000000002,55.990002000000004,69.83000200000001,"1,892.49"
2014-05-23,88.779999,27.01,24.599222,66.5,97.040001,47.09,183.75,23.223333,55.689999,69.790001,"1,900.53"
2014-05-27,91.389999,27.07,24.56031,66.849998,97.110001,49.189999,183.369995,22.886667000000003,55.77,70.239998,"1,911.91"
2014-05-28,91.059998,26.940001000000002,24.575874,66.650002,96.75,49.009997999999996,182.720001,22.823334,55.34,69.809998,"1,909.78"
2014-05-29,91.279999,27.469998999999998,25.035019000000002,66.800003,96.93,49.5,188.570007,23.006666,55.880001,71.110001,"1,920.03"
2014-05-30,91.5,27.66,25.136187,66.730003,97.339996,49.549999,189.639999,23.126667,56.759997999999996,71.910004,"1,923.57"
2014-06-02,91.889999,27.459999,25.003891,67.16999799999999,97.059998,48.889998999999996,189.830002,23.0,56.490002000000004,72.010002,"1,924.97"
2014-06-03,91.730003,28.059998999999998,25.050585,66.940002,96.290001,50.98,191.630005,22.246668,56.790001000000004,71.559998,"1,924.24"
2014-06-04,91.809998,28.549999,25.19066,66.739998,97.480003,52.490002000000004,189.75,22.700001,57.18,74.559998,"1,927.88"
2014-06-05,92.800003,28.67,25.276264,67.389999,97.059998,52.98,188.66000400000001,22.673332000000002,57.490002000000004,75.599998,"1,940.46"
2014-06-06,94.910004,29.030001000000002,25.447472,67.660004,98.120003,52.16,188.729996,22.756666,57.68,75.029999,"1,949.44"
2014-06-09,95.57,28.969998999999998,25.330738,68.099998,97.269997,53.68,186.690002,22.76,57.599998,74.91999799999999,"1,951.27"
2014-06-10,95.279999,29.49,25.268482000000002,67.5,97.029999,54.619999,185.58999599999999,23.299999,56.860001000000004,74.739998,"1,950.79"
2014-06-11,95.08000200000001,28.83,25.081713,67.25,96.940002,53.82,187.16000400000001,23.34,57.080002,74.66999799999999,"1,943.89"
2014-06-12,94.760002,28.440001000000002,25.081713,66.440002,96.940002,53.200001,183.270004,23.543332999999997,57.240002000000004,72.470001,"1,930.11"
2014-06-13,94.849998,28.639999,25.291828,66.470001,97.639999,53.810001,182.610001,22.956667000000003,57.23,73.059998,"1,936.16"
2014-06-16,94.370003,28.76,25.517509,66.33000200000001,98.050003,54.669998,182.550003,23.459999,57.740002000000004,73.290001,"1,937.78"
2014-06-17,94.660004,29.01,25.564201,67.239998,98.339996,55.279999,184.66000400000001,23.413334,58.169998,73.099998,"1,941.99"
2014-06-18,95.559998,29.110001,23.712063,68.07,99.25,56.209998999999996,185.25,23.793332999999997,58.700001,76.08000200000001,"1,956.98"
