Date,Open,High,Low,Close*,Adj Close**,Volume
26-Jun-18,"7,553.74","7,597.49","7,527.00","7,561.63","7,561.63","2,058,640,000"
25-Jun-18,"7,631.12","7,639.73","7,477.73","7,532.01","7,532.01","2,415,090,000"
22-Jun-18,"7,739.69","7,739.71","7,679.12","7,692.82","7,692.82","3,928,340,000"
21-Jun-18,"7,800.30","7,803.45","7,699.20","7,712.95","7,712.95","2,315,880,000"
20-Jun-18,"7,764.15","7,806.60","7,755.48","7,781.51","7,781.51","2,305,100,000"
19-Jun-18,"7,658.47","7,727.41","7,635.73","7,725.59","7,725.59","2,269,000,000"
18-Jun-18,"7,692.96","7,749.36","7,676.83","7,747.03","7,747.03","2,093,950,000"
15-Jun-18,"7,725.03","7,755.72","7,704.34","7,746.38","7,746.38","3,043,790,000"
14-Jun-18,"7,723.53","7,768.60","7,723.53","7,761.04","7,761.04","2,188,230,000"
13-Jun-18,"7,713.90","7,748.96","7,686.65","7,695.70","7,695.70","2,172,770,000"
12-Jun-18,"7,673.87","7,708.25","7,669.53","7,703.79","7,703.79","2,006,760,000"
11-Jun-18,"7,647.24","7,677.29","7,642.87","7,659.93","7,659.93","1,942,940,000"
8-Jun-18,"7,607.74","7,653.58","7,595.14","7,645.51","7,645.51","1,941,580,000"
7-Jun-18,"7,697.41","7,697.41","7,597.66","7,635.07","7,635.07","2,328,280,000"
6-Jun-18,"7,652.80","7,691.65","7,622.31","7,689.24","7,689.24","2,191,750,000"
5-Jun-18,"7,621.36","7,644.48","7,602.38","7,637.86","7,637.86","2,058,630,000"
4-Jun-18,"7,570.08","7,607.17","7,561.20","7,606.46","7,606.46","2,142,790,000"
1-Jun-18,"7,487.66","7,557.38","7,487.23","7,554.33","7,554.33","2,208,600,000"
31-May-18,"7,455.58","7,492.42","7,431.41","7,442.12","7,442.12","2,514,610,000"
30-May-18,"7,428.41","7,473.81","7,423.67","7,462.45","7,462.45","2,049,450,000"
29-May-18,"7,398.51","7,435.13","7,354.29","7,396.59","7,396.59","2,087,370,000"
25-May-18,"7,422.20","7,452.85","7,415.58","7,433.85","7,433.85","1,757,660,000"
24-May-18,"7,421.99","7,435.38","7,357.50","7,424.43","7,424.43","1,992,460,000"
23-May-18,"7,335.03","7,426.78","7,334.62","7,425.96","7,425.96","1,980,450,000"
22-May-18,"7,420.85","7,432.53","7,370.33","7,378.46","7,378.46","1,908,280,000"
21-May-18,"7,406.34","7,431.83","7,368.21","7,394.04","7,394.04","1,949,100,000"
18-May-18,"7,364.34","7,381.16","7,343.97","7,354.34","7,354.34","1,966,710,000"
17-May-18,"7,379.58","7,425.39","7,350.46","7,382.47","7,382.47","1,931,700,000"
16-May-18,"7,356.22","7,413.32","7,356.16","7,398.30","7,398.30","2,083,660,000"
15-May-18,"7,361.30","7,363.52","7,320.97","7,351.63","7,351.63","2,114,040,000"
14-May-18,"7,429.45","7,458.42","7,401.89","7,411.32","7,411.32","2,075,670,000"
11-May-18,"7,393.97","7,417.67","7,372.26","7,402.88","7,402.88","2,083,030,000"
10-May-18,"7,355.90","7,414.15","7,353.63","7,404.97","7,404.97","2,233,460,000"
9-May-18,"7,281.53","7,344.80","7,259.05","7,339.91","7,339.91","2,241,480,000"
8-May-18,"7,255.34","7,278.81","7,224.70","7,266.90","7,266.90","2,054,830,000"
7-May-18,"7,241.82","7,291.74","7,235.76","7,265.21","7,265.21","1,939,980,000"
4-May-18,"7,065.67","7,228.26","7,057.89","7,209.62","7,209.62","2,022,230,000"
3-May-18,"7,065.03","7,112.59","6,991.14","7,088.15","7,088.15","2,345,740,000"
2-May-18,"7,138.45","7,169.46","7,094.72","7,100.90","7,100.90","2,144,200,000"
1-May-18,"7,053.65","7,133.27","7,036.18","7,130.70","7,130.70","1,929,110,000"
30-Apr-18,"7,133.95","7,169.80","7,065.41","7,066.27","7,066.27","1,987,020,000"
27-Apr-18,"7,195.52","7,197.15","7,083.95","7,119.80","7,119.80","2,027,530,000"
26-Apr-18,"7,080.49","7,143.94","7,055.66","7,118.68","7,118.68","2,127,140,000"
25-Apr-18,"7,009.99","7,030.74","6,926.97","7,003.74","7,003.74","2,026,690,000"
24-Apr-18,"7,160.77","7,171.67","6,961.52","7,007.35","7,007.35","2,149,250,000"
23-Apr-18,"7,173.99","7,195.72","7,094.43","7,128.60","7,128.60","1,737,370,000"
20-Apr-18,"7,220.64","7,222.99","7,123.49","7,146.13","7,146.13","1,921,790,000"
19-Apr-18,"7,258.61","7,277.45","7,215.17","7,238.06","7,238.06","1,963,950,000"
18-Apr-18,"7,292.38","7,319.58","7,259.90","7,295.24","7,295.24","1,893,220,000"
17-Apr-18,"7,215.12","7,298.59","7,206.55","7,281.10","7,281.10","1,913,230,000"
16-Apr-18,"7,153.87","7,178.51","7,115.85","7,156.28","7,156.28","1,795,950,000"
13-Apr-18,"7,179.62","7,183.62","7,078.14","7,106.65","7,106.65","1,743,640,000"
12-Apr-18,"7,112.02","7,166.00","7,105.09","7,140.25","7,140.25","2,021,110,000"
11-Apr-18,"7,055.00","7,128.54","7,055.00","7,069.03","7,069.03","1,852,120,000"
10-Apr-18,"7,060.99","7,117.98","7,014.88","7,094.30","7,094.30","2,238,770,000"
9-Apr-18,"6,971.45","7,074.95","6,944.96","6,950.34","6,950.34","2,080,900,000"
6-Apr-18,"6,999.57","7,066.64","6,877.76","6,915.11","6,915.11","2,350,540,000"
